cap1,cap2,cap3,cap4,X,Y
0.48735,0.90678,0.90765,0.88433,0.5088,2.0802
0.48681,0.91025,0.89279,0.90792,0.54654,2.1365
0.48591,0.91395,0.86859,0.92277,0.57716,2.1785
0.4857,0.91699,0.83204,0.92985,0.63178,2.253
0.48601,0.91869,0.78188,0.93234,0.69674,2.328
0.48684,0.91894,0.71514,0.93241,0.76527,2.3857
0.48757,0.91781,0.62478,0.9321,0.81874,2.4101
0.48767,0.91595,0.50963,0.93232,0.89409,2.3978
0.48702,0.91541,0.37453,0.93323,0.99064,2.3715
0.48575,0.91613,0.23533,0.93517,1.0763,2.3589
0.48432,0.9177,0.12078,0.93809,1.1753,2.3519
0.48366,0.91914,0.056371,0.94151,1.2227,2.3484
0.48326,0.91897,0.067769,0.94558,1.3433,2.365
0.48333,0.9164,0.14812,0.94906,1.4172,2.3836
0.48318,0.91183,0.27662,0.95172,1.4954,2.3962
0.48365,0.90661,0.42423,0.95319,1.5555,2.3837
0.48413,0.90276,0.56026,0.95334,1.6226,2.3523
0.48509,0.90156,0.67024,0.95252,1.703,2.3195
0.48593,0.9022,0.74768,0.95108,1.7655,2.3184
0.48696,0.90237,0.80111,0.94911,1.8419,2.3386
0.48776,0.89971,0.83882,0.94683,1.9123,2.369
0.48836,0.89208,0.8656,0.94452,2.0293,2.3928
0.48959,0.87858,0.88479,0.94244,2.0933,2.3734
0.48978,0.85733,0.89837,0.94051,2.129,2.3227
0.48938,0.82375,0.90678,0.93902,2.1556,2.2663
0.48872,0.77493,0.91245,0.93789,2.2026,2.1923
0.48865,0.70905,0.91662,0.93739,2.234,2.1388
0.48819,0.62695,0.92012,0.93792,2.2898,2.0598
0.48791,0.53812,0.92308,0.93935,2.3205,1.9894
0.48743,0.45328,0.92519,0.94143,2.3582,1.8804
0.48818,0.38642,0.92616,0.94392,2.3554,1.8156
0.48882,0.34669,0.92643,0.94633,2.3352,1.7451
0.48873,0.33876,0.92674,0.9478,2.2989,1.6519
